Methods,,Subjects,Tract,Distance
Proposed,287,47,CST,2.848564549088628
Proposed,288,48,AF,5.157666350581534
Proposed,289,48,ATR,3.2225866903285234
Proposed,290,48,CA,3.3707580984983334
Proposed,291,48,CC,5.860307666929654
Proposed,292,48,CG,4.244676737569087
Proposed,293,48,CST,2.520240925650558
Proposed,294,49,AF,5.764654367856446
Proposed,295,49,ATR,3.4119739776312907
Proposed,296,49,CA,7.097583391166797
Proposed,297,49,CC,5.1573519675561625
Proposed,298,49,CG,3.9797395141768512
Proposed,299,49,CST,2.373815367737683
Proposed,300,50,AF,5.174426316934039
Proposed,301,50,ATR,3.178796321591787
Proposed,302,50,CA,5.076637708571137
Proposed,303,50,CC,5.3221570208997875
Proposed,304,50,CG,4.462419595849824
Proposed,305,50,CST,2.991455061889019
Proposed,306,51,AF,6.148287538074731
Proposed,307,51,ATR,3.713768658054288
Proposed,308,51,CA,5.44150077326108
Proposed,309,51,CC,5.45674906313511
Proposed,310,51,CG,3.877972702645918
Proposed,311,51,CST,2.9426671220187
Proposed,312,52,AF,5.830191721139741
Proposed,313,52,ATR,3.260906831412619
Proposed,314,52,CA,4.279325263583674
Proposed,315,52,CC,4.917198171350395
Proposed,316,52,CG,4.205572849375028
Proposed,317,52,CST,3.603566275418221
Proposed,318,53,AF,4.60141850402795
Proposed,319,53,ATR,3.496802398728475
Proposed,320,53,CA,2.860763571048072
Proposed,321,53,CC,5.510004156779133
Proposed,322,53,CG,3.885396066066946
Proposed,323,53,CST,3.191678316351134
Proposed,324,54,AF,5.84189958471906
Proposed,325,54,ATR,3.382283666504723
Proposed,326,54,CA,9.975697333391079
Proposed,327,54,CC,5.547880700352978
Proposed,328,54,CG,4.115940829208769
Proposed,329,54,CST,4.732489783043138
Proposed,330,55,AF,5.870729148076196
Proposed,331,55,ATR,4.081110996012459
Proposed,332,55,CA,6.0254093948921
Proposed,333,55,CC,5.054053088486705
Proposed,334,55,CG,4.240464301632268
Proposed,335,55,CST,4.501236331923609
Proposed,336,56,AF,5.491431624784933
Proposed,337,56,ATR,3.5180505054164146
Proposed,338,56,CA,4.544338570059043
Proposed,339,56,CC,5.156220356192536
Proposed,340,56,CG,5.972159039504577
Proposed,341,56,CST,3.491154840762722
Proposed,342,57,AF,5.386828583101946
Proposed,343,57,ATR,3.1669642586549616
Proposed,344,57,CA,6.687048663516808
Proposed,345,57,CC,5.500469829223067
Proposed,346,57,CG,3.9323725006839125
Proposed,347,57,CST,2.7930746280886125
Proposed,348,58,AF,4.838980905886431
Proposed,349,58,ATR,3.820336224628449
Proposed,350,58,CA,3.4914682276592086
Proposed,351,58,CC,5.400339721773721
Proposed,352,58,CG,4.009864810716465
Proposed,353,58,CST,3.5316553895629546
Proposed,354,59,AF,6.828693581065325
Proposed,355,59,ATR,3.5381583292267886
Proposed,356,59,CA,3.739497894549287
Proposed,357,59,CC,6.507219951009743
Proposed,358,59,CG,4.820447856258293
Proposed,359,59,CST,3.340506418696742
Proposed,360,60,AF,6.513455110026491
Proposed,361,60,ATR,3.987343668145416
Proposed,362,60,CA,6.033847366312377
Proposed,363,60,CC,4.873350217784486
Proposed,364,60,CG,3.843945291570823
Proposed,365,60,CST,2.966077753962175
Proposed,366,61,AF,5.900330815065301
Proposed,367,61,ATR,3.4463525607660515
Proposed,368,61,CA,6.766674902143414
Proposed,369,61,CC,5.131592242709551
Proposed,370,61,CG,4.343085448093423
Proposed,371,61,CST,3.3253452440191875
Proposed,372,62,AF,6.416199067039463
Proposed,373,62,ATR,3.7778156326958237
Proposed,374,62,CA,2.945842110637204
Proposed,375,62,CC,5.621465448187909
Proposed,376,62,CG,3.831218375216834
Proposed,377,62,CST,3.1595691219081616
Proposed,378,63,AF,5.719987810608576
Proposed,379,63,ATR,3.6573571971912786
Proposed,380,63,CA,4.613899385943874
Proposed,381,63,CC,5.318416083813314
Proposed,382,63,CG,4.22417085606629
Proposed,383,63,CST,3.629600194081052
Proposed,384,64,AF,5.771780914417032
Proposed,385,64,ATR,3.228315787823423
Proposed,386,64,CA,3.2017712771059332
