Dice,Tract,Method
0.8347445888488733,AF,Proposed
0.8269418834224138,AF,Proposed
0.8323313050585778,AF,Proposed
0.8181527924724383,AF,Proposed
0.8190729251423922,AF,Proposed
0.8288018251430443,AF,Proposed
0.823356139465562,AF,Proposed
0.7612962179086628,AF,Proposed
0.8292582044221747,AF,Proposed
0.8267573308591938,AF,Proposed
0.8245319098540125,AF,Proposed
0.8196077274738239,AF,Proposed
0.8257298343498546,AF,Proposed
0.8262711135820442,AF,Proposed
0.8328016643550624,AF,Proposed
0.8308967177991962,AF,Proposed
0.826787869326881,AF,Proposed
0.81048681207501,AF,Proposed
0.833901147239952,AF,Proposed
0.8258500385055191,AF,Proposed
0.8316248894131525,AF,Proposed
0.8095615752558923,AF,Proposed
0.8106511414125939,AF,Proposed
0.78608581341996,AF,Proposed
0.8334039647784527,AF,Proposed
0.8252972596237615,AF,Proposed
0.8272046859746176,AF,Proposed
0.8261127378761852,AF,Proposed
0.812561273749395,AF,Proposed
0.8283103777444429,AF,Proposed
0.8220023870730812,AF,Proposed
0.7697648068219776,AF,Proposed
0.8242165834719911,AF,Proposed
0.8260236882596405,AF,Proposed
0.8235922603672569,AF,Proposed
0.8268220187849245,AF,Proposed
0.8305227848390114,AF,Proposed
0.8290741347873852,AF,Proposed
0.8250787087072976,AF,Proposed
0.8345242931912148,AF,Proposed
0.8187656228962142,AF,Proposed
0.8282779612414944,AF,Proposed
0.8281704534237587,AF,Proposed
0.8207009491163298,AF,Proposed
0.8026261443146442,AF,Proposed
0.8126760735148847,AF,Proposed
0.778718106711266,AF,Proposed
0.8333889816360601,AF,Proposed
0.8242335103075525,AF,Proposed
0.8258417042523877,AF,Proposed
0.8172041702655686,AF,Proposed
0.8117495261789963,AF,Proposed
0.8244963948123061,AF,Proposed
0.8313162869593526,AF,Proposed
0.7598076898020872,AF,Proposed
0.8319274094774793,AF,Proposed
0.8211659554769521,AF,Proposed
0.8282639327535105,AF,Proposed
0.8270906126252038,AF,Proposed
0.8236565327946349,AF,Proposed
0.824437831481437,AF,Proposed
0.8288888888888889,AF,Proposed
0.8281445252943181,AF,Proposed
0.8316667667006782,AF,Proposed
0.8291679266651251,AF,Proposed
0.8220531544332332,AF,Proposed
0.8105242588705458,AF,Proposed
0.8133173754223236,AF,Proposed
0.765272650089404,AF,Proposed
0.8267172421220153,AF,Proposed
0.8254441484812199,AF,Proposed
0.8268876832950404,AF,Proposed
0.8102717154759684,AF,Proposed
0.8145875550000315,AF,Proposed
0.829349149518402,AF,Proposed
0.8171223013193873,AF,Proposed
0.7591142533182151,AF,Proposed
0.838571051163883,AF,Proposed
0.8266181597695922,AF,Proposed
0.8286987900658035,AF,Proposed
0.8265908671943293,AF,Proposed
0.8278234235986193,AF,Proposed
0.8331972587149608,AF,Proposed
0.8235358239415722,AF,Proposed
0.8361076322604963,AF,Proposed
0.8315768614098614,AF,Proposed
0.8287090172645182,AF,Proposed
0.8064580019039223,AF,Proposed
0.8172181581573993,AF,Proposed
0.7776328659928269,AF,Proposed
0.8304740666226313,AF,Proposed
0.8268135677147809,AF,Proposed
0.8339446075862993,AF,Proposed
0.8231194787846711,AF,Proposed
0.816085996736731,AF,Proposed
0.8291265218400068,AF,Proposed
0.8236606747542725,AF,Proposed
0.7667753677117303,AF,Proposed
0.8301597398505448,AF,Proposed
0.8287664080687465,AF,Proposed
0.8268667788969098,AF,Proposed
0.8335430942059385,AF,Proposed
0.831903192926731,AF,Proposed
